rowid,modelname,imagefilename,classid,classtext,value,inference,modelrun,processed_flag,storeid,storename,s3path_actual_file,s3path_annotated_file
1,gpt-4o-rescorer,IMG-MO30I1R8-6J1W.jpg,1087,MT_RACK_DISPLAY,Y,0.85,2026-04-22 15:28:05.259517,N,1220111093,SITAULA HOTEL,april_store_images/IMG-MO30I1R8-6J1W.jpg,ModelResults/LLMRescore_247/IMG-MO30I1R8-6J1W.jpg
2,gpt-4o-rescorer,IMG-MO30I1R8-6J1W.jpg,1019,POSTER,N,0.0,2026-04-22 15:28:05.259517,N,1220111093,SITAULA HOTEL,april_store_images/IMG-MO30I1R8-6J1W.jpg,ModelResults/LLMRescore_247/IMG-MO30I1R8-6J1W.jpg
3,gpt-4o-rescorer,IMG-MO30I1R8-6J1W.jpg,1020,STREAMER,N,0.0,2026-04-22 15:28:05.259517,N,1220111093,SITAULA HOTEL,april_store_images/IMG-MO30I1R8-6J1W.jpg,ModelResults/LLMRescore_247/IMG-MO30I1R8-6J1W.jpg
4,gpt-4o-rescorer,IMG-MO30I1R8-6J1W.jpg,1081,DANGLER,N,0.0,2026-04-22 15:28:05.259517,N,1220111093,SITAULA HOTEL,april_store_images/IMG-MO30I1R8-6J1W.jpg,ModelResults/LLMRescore_247/IMG-MO30I1R8-6J1W.jpg
5,gpt-4o-rescorer,IMG-MO30I1R8-6J1W.jpg,1082,WOBBLER,N,0.0,2026-04-22 15:28:05.259517,N,1220111093,SITAULA HOTEL,april_store_images/IMG-MO30I1R8-6J1W.jpg,ModelResults/LLMRescore_247/IMG-MO30I1R8-6J1W.jpg
6,gpt-4o-rescorer,IMG-MO30I1R8-6J1W.jpg,1022,WALL_BRANDING,N,0.0,2026-04-22 15:28:05.259517,N,1220111093,SITAULA HOTEL,april_store_images/IMG-MO30I1R8-6J1W.jpg,ModelResults/LLMRescore_247/IMG-MO30I1R8-6J1W.jpg
7,gpt-4o-rescorer,IMG-MO30I1R8-6J1W.jpg,1083,FRONT_WINDOW_BRANDING,N,0.0,2026-04-22 15:28:05.259517,N,1220111093,SITAULA HOTEL,april_store_images/IMG-MO30I1R8-6J1W.jpg,ModelResults/LLMRescore_247/IMG-MO30I1R8-6J1W.jpg
8,gpt-4o-rescorer,IMG-MO30I1R8-6J1W.jpg,1084,CEILING_PILLAR_BRANDING,N,0.0,2026-04-22 15:28:05.259517,N,1220111093,SITAULA HOTEL,april_store_images/IMG-MO30I1R8-6J1W.jpg,ModelResults/LLMRescore_247/IMG-MO30I1R8-6J1W.jpg
9,gpt-4o-rescorer,IMG-MO30I1R8-6J1W.jpg,1040,PILLAR_BRANDING,N,0.0,2026-04-22 15:28:05.259517,N,1220111093,SITAULA HOTEL,april_store_images/IMG-MO30I1R8-6J1W.jpg,ModelResults/LLMRescore_247/IMG-MO30I1R8-6J1W.jpg
10,gpt-4o-rescorer,IMG-MO30I1R8-6J1W.jpg,1085,COUNTER_FRONT,N,0.0,2026-04-22 15:28:05.259517,N,1220111093,SITAULA HOTEL,april_store_images/IMG-MO30I1R8-6J1W.jpg,ModelResults/LLMRescore_247/IMG-MO30I1R8-6J1W.jpg
