rowid,modelname,imagefilename,classid,classtext,value,inference,modelrun,processed_flag,storeid,storename,s3path_actual_file,s3path_annotated_file
118,llava:7b,img_1768054958717_4300.jpg,1018,Other Elements branded by Coca-Cola - Bottle Neck Ringer,N,1.0,2026-03-12 18:22:06.604121,N,2260210296,ANKIT & ANKUSH KIRANA PASAL,STORE_IMAGES/img_1768054958717_4300.jpg,ModelResults/VisibleItem_267/img_1768054958717_4300.jpg
119,llava:7b,img_1768054958717_4300.jpg,1019,Other Elements branded by Coca-Cola - Poster,N,1.0,2026-03-12 18:22:06.604121,N,2260210296,ANKIT & ANKUSH KIRANA PASAL,STORE_IMAGES/img_1768054958717_4300.jpg,ModelResults/VisibleItem_267/img_1768054958717_4300.jpg
120,llava:7b,img_1768054958717_4300.jpg,1020,Other Elements branded by Coca-Cola - Streamer,N,1.0,2026-03-12 18:22:06.604121,N,2260210296,ANKIT & ANKUSH KIRANA PASAL,STORE_IMAGES/img_1768054958717_4300.jpg,ModelResults/VisibleItem_267/img_1768054958717_4300.jpg
121,llava:7b,img_1768054958717_4300.jpg,1021,Other Elements branded by Coca-Cola - Combo board Non-digital,N,1.0,2026-03-12 18:22:06.604121,N,2260210296,ANKIT & ANKUSH KIRANA PASAL,STORE_IMAGES/img_1768054958717_4300.jpg,ModelResults/VisibleItem_267/img_1768054958717_4300.jpg
122,llava:7b,img_1768054958717_4300.jpg,1022,Other Elements branded by Coca-Cola - Digital Combo board,N,1.0,2026-03-12 18:22:06.604121,N,2260210296,ANKIT & ANKUSH KIRANA PASAL,STORE_IMAGES/img_1768054958717_4300.jpg,ModelResults/VisibleItem_267/img_1768054958717_4300.jpg
123,llava:7b,img_1768054958717_4300.jpg,1023,Other Elements branded by Coca-Cola - Menu board,N,1.0,2026-03-12 18:22:06.604121,N,2260210296,ANKIT & ANKUSH KIRANA PASAL,STORE_IMAGES/img_1768054958717_4300.jpg,ModelResults/VisibleItem_267/img_1768054958717_4300.jpg
124,llava:7b,img_1768054958717_4300.jpg,1024,Other Elements branded by Coca-Cola - Bar Signage,N,1.0,2026-03-12 18:22:06.604121,N,2260210296,ANKIT & ANKUSH KIRANA PASAL,STORE_IMAGES/img_1768054958717_4300.jpg,ModelResults/VisibleItem_267/img_1768054958717_4300.jpg
125,llava:7b,img_1768054958717_4300.jpg,1025,Other Elements branded by Coca-Cola - Menu Book,N,1.0,2026-03-12 18:22:06.604121,N,2260210296,ANKIT & ANKUSH KIRANA PASAL,STORE_IMAGES/img_1768054958717_4300.jpg,ModelResults/VisibleItem_267/img_1768054958717_4300.jpg
126,llava:7b,img_1768054958717_4300.jpg,1026,Other Elements branded by Coca-Cola - Table Menu,N,1.0,2026-03-12 18:22:06.604121,N,2260210296,ANKIT & ANKUSH KIRANA PASAL,STORE_IMAGES/img_1768054958717_4300.jpg,ModelResults/VisibleItem_267/img_1768054958717_4300.jpg
127,llava:7b,img_1768054958717_4300.jpg,1027,Other Elements branded by Coca-Cola - Table Sticker,N,1.0,2026-03-12 18:22:06.604121,N,2260210296,ANKIT & ANKUSH KIRANA PASAL,STORE_IMAGES/img_1768054958717_4300.jpg,ModelResults/VisibleItem_267/img_1768054958717_4300.jpg
