rowid,modelname,imagefilename,classid,classtext,value,inference,modelrun,processed_flag,storeid,storename,s3path_actual_file,s3path_annotated_file
245,gpt-4o,IMG-MO1JECJX-SBZM.jpg,1030,Other Elements branded by Coca-Cola - Tent Card,N/A,1.0,2026-04-20 16:13:14.190583,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JECJX-SBZM.jpg,ModelResults/VisibleItem_326/IMG-MO1JECJX-SBZM.jpg
246,gpt-4o,IMG-MO1JECJX-SBZM.jpg,1031,Other Elements branded by Coca-Cola - Tray,N/A,1.0,2026-04-20 16:13:14.190583,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JECJX-SBZM.jpg,ModelResults/VisibleItem_326/IMG-MO1JECJX-SBZM.jpg
247,gpt-4o,IMG-MO1JECJX-SBZM.jpg,1032,Other Elements branded by Coca-Cola - Shop Board,N/A,1.0,2026-04-20 16:13:14.190583,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JECJX-SBZM.jpg,ModelResults/VisibleItem_326/IMG-MO1JECJX-SBZM.jpg
248,gpt-4o,IMG-MO1JECJX-SBZM.jpg,1033,Other Elements branded by Coca-Cola - Umbrella,N/A,1.0,2026-04-20 16:13:14.190583,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JECJX-SBZM.jpg,ModelResults/VisibleItem_326/IMG-MO1JECJX-SBZM.jpg
249,gpt-4o,IMG-MO1JECJX-SBZM.jpg,1034,Other Elements branded by Coca-Cola - Neon Signage,N/A,1.0,2026-04-20 16:13:14.190583,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JECJX-SBZM.jpg,ModelResults/VisibleItem_326/IMG-MO1JECJX-SBZM.jpg
250,gpt-4o,IMG-MO1JECJX-SBZM.jpg,1035,Other Elements branded by Coca-Cola - Coke Glass,N/A,1.0,2026-04-20 16:13:14.190583,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JECJX-SBZM.jpg,ModelResults/VisibleItem_326/IMG-MO1JECJX-SBZM.jpg
251,gpt-4o,IMG-MO1JECJX-SBZM.jpg,1036,Other Elements branded by Coca-Cola - Waiter Apron,N/A,1.0,2026-04-20 16:13:14.190583,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JECJX-SBZM.jpg,ModelResults/VisibleItem_326/IMG-MO1JECJX-SBZM.jpg
252,gpt-4o,IMG-MO1JECJX-SBZM.jpg,1037,Other Elements branded by Coca-Cola - One pager Combo menu,N/A,1.0,2026-04-20 16:13:14.190583,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JECJX-SBZM.jpg,ModelResults/VisibleItem_326/IMG-MO1JECJX-SBZM.jpg
253,gpt-4o,IMG-MO1JECJX-SBZM.jpg,1038,Other Elements branded by Coca-Cola - Wall Menu,N/A,1.0,2026-04-20 16:13:14.190583,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JECJX-SBZM.jpg,ModelResults/VisibleItem_326/IMG-MO1JECJX-SBZM.jpg
254,gpt-4o,IMG-MO1JECJX-SBZM.jpg,1039,Other Elements branded by Coca-Cola - Rack shelf branding,N/A,1.0,2026-04-20 16:13:14.190583,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JECJX-SBZM.jpg,ModelResults/VisibleItem_326/IMG-MO1JECJX-SBZM.jpg
255,gpt-4o,IMG-MO1JECJX-SBZM.jpg,1040,Other Elements branded by Coca-Cola - Pillar Branding,N/A,1.0,2026-04-20 16:13:14.190583,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JECJX-SBZM.jpg,ModelResults/VisibleItem_326/IMG-MO1JECJX-SBZM.jpg
256,gpt-4o,IMG-MO1JECJX-SBZM.jpg,1041,Other Elements branded by Coca-Cola - Window Branding (One Way Vision),N/A,1.0,2026-04-20 16:13:14.190583,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JECJX-SBZM.jpg,ModelResults/VisibleItem_326/IMG-MO1JECJX-SBZM.jpg
257,gpt-4o,IMG-MO1JECJX-SBZM.jpg,1042,Other Elements branded by Coca-Cola - Offer Communication (Printed Communication Material),N/A,1.0,2026-04-20 16:13:14.190583,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JECJX-SBZM.jpg,ModelResults/VisibleItem_326/IMG-MO1JECJX-SBZM.jpg
258,gpt-4o,IMG-MO1JECJX-SBZM.jpg,1043,Other Elements branded by Coca-Cola - Aerial Hanger,N/A,1.0,2026-04-20 16:13:14.190583,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JECJX-SBZM.jpg,ModelResults/VisibleItem_326/IMG-MO1JECJX-SBZM.jpg
259,gpt-4o,IMG-MO1JECJX-SBZM.jpg,1044,Other Elements branded by Coca-Cola - Digital Display Ad,N/A,1.0,2026-04-20 16:13:14.190583,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JECJX-SBZM.jpg,ModelResults/VisibleItem_326/IMG-MO1JECJX-SBZM.jpg
260,gpt-4o,IMG-MO1JECJX-SBZM.jpg,1045,Other Elements branded by Coca-Cola - Coke logo Cup,N/A,1.0,2026-04-20 16:13:14.190583,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JECJX-SBZM.jpg,ModelResults/VisibleItem_326/IMG-MO1JECJX-SBZM.jpg
261,gpt-4o,IMG-MO1JECJX-SBZM.jpg,1046,Other Elements branded by Coca-Cola - Price Communication,N/A,1.0,2026-04-20 16:13:14.190583,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JECJX-SBZM.jpg,ModelResults/VisibleItem_326/IMG-MO1JECJX-SBZM.jpg
262,gpt-4o,IMG-MO1JEBX3-L40P.jpg,1019,Other Elements branded by Coca-Cola - Poster,Y,1.0,2026-04-20 16:13:21.179901,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JEBX3-L40P.jpg,ModelResults/VisibleItem_326/IMG-MO1JEBX3-L40P.jpg
263,gpt-4o,IMG-MO1JEBX3-L40P.jpg,1030,Other Elements branded by Coca-Cola - Tent Card,N/A,1.0,2026-04-20 16:13:21.179901,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JEBX3-L40P.jpg,ModelResults/VisibleItem_326/IMG-MO1JEBX3-L40P.jpg
264,gpt-4o,IMG-MO1JEBX3-L40P.jpg,1031,Other Elements branded by Coca-Cola - Tray,N/A,1.0,2026-04-20 16:13:21.179901,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JEBX3-L40P.jpg,ModelResults/VisibleItem_326/IMG-MO1JEBX3-L40P.jpg
265,gpt-4o,IMG-MO1JEBX3-L40P.jpg,1032,Other Elements branded by Coca-Cola - Shop Board,N/A,1.0,2026-04-20 16:13:21.179901,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JEBX3-L40P.jpg,ModelResults/VisibleItem_326/IMG-MO1JEBX3-L40P.jpg
266,gpt-4o,IMG-MO1JEBX3-L40P.jpg,1033,Other Elements branded by Coca-Cola - Umbrella,N/A,1.0,2026-04-20 16:13:21.179901,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JEBX3-L40P.jpg,ModelResults/VisibleItem_326/IMG-MO1JEBX3-L40P.jpg
267,gpt-4o,IMG-MO1JEBX3-L40P.jpg,1034,Other Elements branded by Coca-Cola - Neon Signage,N/A,1.0,2026-04-20 16:13:21.179901,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JEBX3-L40P.jpg,ModelResults/VisibleItem_326/IMG-MO1JEBX3-L40P.jpg
268,gpt-4o,IMG-MO1JEBX3-L40P.jpg,1035,Other Elements branded by Coca-Cola - Coke Glass,N/A,1.0,2026-04-20 16:13:21.179901,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JEBX3-L40P.jpg,ModelResults/VisibleItem_326/IMG-MO1JEBX3-L40P.jpg
269,gpt-4o,IMG-MO1JEBX3-L40P.jpg,1036,Other Elements branded by Coca-Cola - Waiter Apron,N/A,1.0,2026-04-20 16:13:21.179901,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JEBX3-L40P.jpg,ModelResults/VisibleItem_326/IMG-MO1JEBX3-L40P.jpg
270,gpt-4o,IMG-MO1JEBX3-L40P.jpg,1037,Other Elements branded by Coca-Cola - One pager Combo menu,N/A,1.0,2026-04-20 16:13:21.179901,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JEBX3-L40P.jpg,ModelResults/VisibleItem_326/IMG-MO1JEBX3-L40P.jpg
271,gpt-4o,IMG-MO1JEBX3-L40P.jpg,1038,Other Elements branded by Coca-Cola - Wall Menu,N/A,1.0,2026-04-20 16:13:21.179901,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JEBX3-L40P.jpg,ModelResults/VisibleItem_326/IMG-MO1JEBX3-L40P.jpg
272,gpt-4o,IMG-MO1JEBX3-L40P.jpg,1039,Other Elements branded by Coca-Cola - Rack shelf branding,N/A,1.0,2026-04-20 16:13:21.179901,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JEBX3-L40P.jpg,ModelResults/VisibleItem_326/IMG-MO1JEBX3-L40P.jpg
273,gpt-4o,IMG-MO1JEBX3-L40P.jpg,1040,Other Elements branded by Coca-Cola - Pillar Branding,N/A,1.0,2026-04-20 16:13:21.179901,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JEBX3-L40P.jpg,ModelResults/VisibleItem_326/IMG-MO1JEBX3-L40P.jpg
274,gpt-4o,IMG-MO1JEBX3-L40P.jpg,1041,Other Elements branded by Coca-Cola - Window Branding (One Way Vision),N/A,1.0,2026-04-20 16:13:21.179901,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JEBX3-L40P.jpg,ModelResults/VisibleItem_326/IMG-MO1JEBX3-L40P.jpg
275,gpt-4o,IMG-MO1JEBX3-L40P.jpg,1042,Other Elements branded by Coca-Cola - Offer Communication (Printed Communication Material),Y,1.0,2026-04-20 16:13:21.179901,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JEBX3-L40P.jpg,ModelResults/VisibleItem_326/IMG-MO1JEBX3-L40P.jpg
276,gpt-4o,IMG-MO1JEBX3-L40P.jpg,1043,Other Elements branded by Coca-Cola - Aerial Hanger,N/A,1.0,2026-04-20 16:13:21.179901,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JEBX3-L40P.jpg,ModelResults/VisibleItem_326/IMG-MO1JEBX3-L40P.jpg
277,gpt-4o,IMG-MO1JEBX3-L40P.jpg,1044,Other Elements branded by Coca-Cola - Digital Display Ad,N/A,1.0,2026-04-20 16:13:21.179901,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JEBX3-L40P.jpg,ModelResults/VisibleItem_326/IMG-MO1JEBX3-L40P.jpg
278,gpt-4o,IMG-MO1JEBX3-L40P.jpg,1045,Other Elements branded by Coca-Cola - Coke logo Cup,N/A,1.0,2026-04-20 16:13:21.179901,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JEBX3-L40P.jpg,ModelResults/VisibleItem_326/IMG-MO1JEBX3-L40P.jpg
279,gpt-4o,IMG-MO1JEBX3-L40P.jpg,1046,Other Elements branded by Coca-Cola - Price Communication,N/A,1.0,2026-04-20 16:13:21.179901,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JEBX3-L40P.jpg,ModelResults/VisibleItem_326/IMG-MO1JEBX3-L40P.jpg
280,gpt-4o,IMG-MO1JED7N-Y4V8.jpg,1030,Other Elements branded by Coca-Cola - Tent Card,N/A,1.0,2026-04-20 16:13:27.237138,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JED7N-Y4V8.jpg,ModelResults/VisibleItem_326/IMG-MO1JED7N-Y4V8.jpg
281,gpt-4o,IMG-MO1JED7N-Y4V8.jpg,1031,Other Elements branded by Coca-Cola - Tray,N/A,1.0,2026-04-20 16:13:27.237138,N,1220110208,KASTURI KIRANA PASAL,april_store_images/IMG-MO1JED7N-Y4V8.jpg,ModelResults/VisibleItem_326/IMG-MO1JED7N-Y4V8.jpg
